C,M,Y,K,IndexCMYK,CPC
0.093023256,0,0.04,0.153846154,0.093018182,0.2266
0.093023256,0,0.04,0.038461538,0.093018136,0.2266
0.069767442,0,0.04,0.076923077,0.069763608,0.2266
0.093023256,0,0.04,0.153846154,0.093018182,0.2266
0.069767442,0,0.08,0.115384615,0.06976591,0.2266
0.046511628,0,0.04,0.076923077,0.04650908,0.2266
0.023255814,0,0.04,0.115384615,0.023254574,0.2266
0.11627907,0,0.04,0.230769231,0.116272755,0.2266
0.069767442,0,0.04,0.153846154,0.069763676,0.2266
0.093023256,0,0.04,0.307692308,0.093018294,0.2266
0.11627907,0,0.04,0.192307692,0.116272733,0.2266
0.11627907,0,0.04,0.076923077,0.116272665,0.2266
0.093023256,0,0.04,0.115384615,0.093018182,0.2266
0.093023256,0,0.08,0.115384615,0.093020439,0.2266
0.11627907,0,0.04,0.076923077,0.116272665,0.2266
0.11627907,0,0.04,0.115384615,0.116272688,0.2266
0.093023256,0,0.04,0.076923077,0.093018136,0.2266
0.093023256,0,0.04,0.153846154,0.093018182,0.2266
0.069767442,0,0,0.038461538,0.069761328,0.2266
0.069767442,0,0.04,0.115384615,0.069763653,0.2266
0.093023256,0,0.04,0.115384615,0.093018159,0.2266
0.069767442,0,0.04,0.192307692,0.069763698,0.2266
0.093023256,0,0.04,0.153846154,0.093018204,0.2266
0.11627907,0,0.04,0.192307692,0.116272733,0.2266
0.11627907,0,0.08,0.192307692,0.116275012,0.2266
0.139534884,0,0.04,0.192307692,0.139527284,0.2266
0.11627907,0,0.04,0.192307692,0.116272733,0.2266
0.162790698,0,0.04,0.230769231,0.162781835,0.2266
0.139534884,0,0.04,0.230769231,0.139527306,0.2266
0.11627907,0,0.08,0.269230769,0.116275057,0.2266
0.093023256,0,0.04,0.192307692,0.093018227,0.2266
0.162790698,0,0.08,0.153846154,0.162784047,0.2266
0.186046512,0,0.08,0.192307692,0.186038598,0.2266
0.162790698,0,0.08,0.230769231,0.162784092,0.2266
0.162790698,0,0.08,0.192307692,0.162784092,0.2266
0.093023256,0,0.04,0.153846154,0.093018182,0.2266
0.11627907,0,0.04,0.192307692,0.116272733,0.2266
0.11627907,0,0.04,0.269230769,0.116272778,0.2266
0.11627907,0,0.04,0.230769231,0.116272755,0.2266
0.093023256,0,0.04,0.230769231,0.093018249,0.2266
0.11627907,0,0.04,0.269230769,0.116272778,0.2266
0.139534884,0,0.04,0.269230769,0.139527306,0.2266
0.093023256,0,0.04,0.153846154,0.093018182,0.2266
0.093023256,0,0.04,0.192307692,0.093018204,0.2266
0.023255814,0,0.04,0.192307692,0.023254619,0.2266
0.11627907,0,0.04,0.192307692,0.116272733,0.2266
0.093023256,0,0.04,0.192307692,0.093018204,0.2266
0.11627907,0,0.04,0.192307692,0.116272733,0.2266
0.11627907,0,0.04,0.192307692,0.116272755,0.2266
0.11627907,0,0.04,0.269230769,0.116272778,0.2266
0.046511628,0,0.04,0.153846154,0.046509147,0.2266
0.093023256,0,0.04,0.192307692,0.093018227,0.2266
0.11627907,0,0.04,0.153846154,0.11627271,0.2266
0.11627907,0,0.04,0.230769231,0.116272778,0.2266
0.11627907,0,0.08,0.230769231,0.116275057,0.2266
0.11627907,0,0.04,0.192307692,0.116272755,0.2266
0.139534884,0,0.04,0.307692308,0.139527329,0.2266
0.11627907,0,0.04,0.192307692,0.116272755,0.2266
0.139534884,0,0.04,0.230769231,0.139527284,0.2266
0.069767442,0,0.04,0.153846154,0.069763653,0.2266
0.11627907,0,0.08,0.192307692,0.116275012,0.2266
0.139534884,0,0.04,0.192307692,0.139527261,0.2266
0.093023256,0,0.04,0.192307692,0.093018227,0.2266
0.093023256,0,0.04,0.192307692,0.093018227,0.2266
0.162790698,0,0.08,0.192307692,0.162784092,0.2266
0.11627907,0,0.08,0.192307692,0.116275035,0.2266
0.139534884,0,0.08,0.269230769,0.139529608,0.2266
0.11627907,0,0.04,0.230769231,0.116272778,0.2266
0.093023256,0,0.04,0.115384615,0.093018182,0.2266
0.093023256,0,0.08,0.192307692,0.093020484,0.2266
0.093023256,0,0.04,0.153846154,0.093018204,0.2266
0.11627907,0,0.08,0.115384615,0.116274967,0.2266
0.11627907,0,0.04,0.115384615,0.116272688,0.2266
0.11627907,0,0.04,0.153846154,0.11627271,0.2266
0.11627907,0,0.04,0.153846154,0.11627271,0.2266
0.093023256,0,0.04,0.153846154,0.093018204,0.2266
0.11627907,0,0.04,0.115384615,0.11627271,0.2266
0.093023256,0,0.04,0.153846154,0.093018182,0.2266
0.11627907,0,0.04,0.153846154,0.11627271,0.2266
0.093023256,0,0.04,0.038461538,0.093018114,0.2266
0.11627907,0,0.08,0.115384615,0.116274967,0.2266
0.139534884,0,0.04,0.153846154,0.139527239,0.2266
0.139534884,0,0.04,0.230769231,0.139527284,0.2266
0.11627907,0,0.04,0.192307692,0.116272733,0.2266
0.186046512,0,0.04,0.230769231,0.186036363,0.2266
0.162790698,0,0.08,0.192307692,0.162784092,0.2266
0.139534884,0,0.04,0.230769231,0.139527284,0.2266
0.186046512,0,0.04,0.230769231,0.186036341,0.2266
0.139534884,0,0.04,0.230769231,0.139527284,0.2266
0.162790698,0,0.08,0.230769231,0.162784114,0.2266
0.11627907,0,0.04,0.153846154,0.116272733,0.2266
0.11627907,0,0.04,0.192307692,0.116272755,0.1728
0.162790698,0,0.08,0.192307692,0.162784092,0.1728
0.093023256,0,0.04,0.192307692,0.093018227,0.1728
0.093023256,0,0.04,0.192307692,0.093018204,0.1728
0.093023256,0,0.04,0.153846154,0.093018204,0.1728
0.11627907,0,0.08,0.153846154,0.116275012,0.1728
0.11627907,0,0.04,0.192307692,0.116272733,0.1728
0.162790698,0,0.04,0.230769231,0.162781812,0.1728
0.11627907,0,0.04,0.192307692,0.116272755,0.1728
0.093023256,0,0.08,0.192307692,0.093020506,0.1728
0.139534884,0,0.04,0.153846154,0.139527261,0.1728
0.162790698,0,0.08,0.192307692,0.162784092,0.1728
